iso3,year,sstran,deficit,debt,ln_population,ln_gdppc,inflation_cpi,dependency_ratio,KOFGI,KOFEcGI,KOFTrGI,KOFFiGI,KOFSoGI,KOFIpGI,KOFInGI,KOFCuGI,KOFPoGI
ISL,1991,7.2684,-1.8772336712811,38.39127139648218,12.459927732491664,4.827030754631896,6.80878,55.15545818939056,55.305503845214844,49.02526092529297,65.27181243896484,32.7786979675293,73.66023254394531,75.41654205322266,59.47970962524414,86.08444213867188,43.230987548828125
ISL,1992,7.64632,-1.79101178827996,46.24270480492373,12.472494053265628,4.766384774703154,3.947712,55.30694683237056,56.96876907348633,52.294273376464844,65.35904693603516,39.2295036315918,75.25479125976562,75.85931396484375,63.98280715942383,85.92224884033203,43.35725402832031
ISL,1993,8.01376,-3.51533565431902,53.13735207732605,12.48266217255001,4.76241408544646,4.04285,55.665277597421756,57.56074905395508,56.07547378540039,69.20140075683594,42.94955825805664,72.04515838623047,74.85060119628906,64.53095245361328,76.75393676757812,44.56160354614258
ISL,1994,7.73387,-3.64885681090815,55.66172684889574,12.491330532016077,4.7667047831897476,1.552657,55.64644000163826,60.55216598510742,60.492923736572266,72.6418685913086,48.34397888183594,72.70036315917969,73.9609603881836,66.21284484863281,77.92727661132812,48.46328353881836
ISL,1995,6.934385538,-2.90004046919075,58.94347189836932,12.496755211994193,4.74422425179078,1.651232,55.40436113903237,61.074440002441406,60.39579391479492,73.23780059814453,47.55379104614258,73.5096206665039,75.51307678222656,67.0744857788086,77.94129943847656,49.3178825378418
ISL,1996,6.613003564,-1.53043353417162,56.29575943637132,12.502154342160287,4.758014226820015,2.260421,55.114613015239435,61.84274673461914,61.94157028198242,75.28984069824219,48.593292236328125,74.62899780273438,75.4313735961914,69.26211547851562,79.19355010986328,48.95764923095703
ISL,1997,6.413941348,0.0128057668779267,53.07603912704075,12.510346313074875,4.761746219408945,1.815431,54.72516435354273,66.27479553222656,63.04306411743164,75.59577941894531,50.49036407470703,76.28765869140625,76.05362701416016,72.99833679199219,79.81098937988281,59.49365234375
ISL,1998,5.65206332057818,-0.565309413281317,47.0825584213801,12.521054903506846,4.796272644244544,1.659237,54.21109791850722,67.88082885742188,64.93888854980469,76.11522674560547,53.76254653930664,75.99686431884766,76.12850189208984,74.86307525634766,76.99901580810547,62.706756591796875
ISL,1999,5.45250241862531,1.3190669495389,42.975519707838,12.53314729136642,4.796724250054901,3.231831,53.77165507109793,68.66572570800781,66.42906951904297,75.83177947998047,57.0263557434082,76.1138916015625,77.92950439453125,76.5335464477539,73.87860870361328,63.45421600341797
ISL,2000,5.39520252438012,1.44593423834869,40.0023358562132,12.546839219699402,4.797507022021072,5.136475,53.51096990441253,70.09464263916016,68.76643371582031,76.16480255126953,61.368045806884766,77.15818786621094,79.28823852539062,77.29045104980469,74.89586639404297,64.35926818847656
ISL,2001,5.34354822270183,-0.280550354156069,44.3240023528647,12.560132172245083,4.815015457838343,6.405086,53.33143216878037,70.80762481689453,70.53065490722656,74.79582214355469,66.26548767089844,77.19390869140625,78.67535400390625,77.31102752685547,75.5953369140625,64.69828796386719
ISL,2002,5.99143162757524,-2.27402317652608,40.3386430494948,12.569058136019713,4.80308034831873,5.197023,53.1259153534396,69.53639221191406,63.85980224609375,73.30563354492188,54.413970947265625,79.02700805664062,82.09760284423828,78.92007446289062,76.0633773803711,65.72233581542969
ISL,2003,6.85136181885413,-2.32381999854895,39.4191977668991,12.575983112224474,4.804912688084757,2.055662,52.69209064874928,70.87074279785156,67.9699935913086,73.4389877319336,62.50101089477539,79.81629943847656,82.48873901367188,81.4424057006836,75.51773071289062,64.82594299316406
ISL,2004,6.54229638908566,0.286478610886617,34.5222363659426,12.584762473801348,4.843579870644315,3.158195,52.070392835758724,67.84991455078125,70.00003051757812,73.1882095336914,66.81185150146484,80.28919219970703,82.45118713378906,82.10054779052734,76.31587982177734,53.26050567626953
ISL,2005,5.99620833014955,5.00645609244744,26.320591735448,12.600591393579396,4.874266936327006,3.987048,51.02376311195484,69.2662582397461,73.17723083496094,70.94883728027344,75.40562438964844,81.09846496582031,83.31584167480469,82.86405944824219,77.1154556274414,53.523075103759766
ISL,2006,5.43766720395328,6.44941539327854,31.2927450096558,12.624065617882234,4.881494697327495,6.687074,49.603561543992356,70.56140899658203,75.34575653076172,72.73217010498047,77.95934295654297,81.85182189941406,84.6555404663086,80.77604675292969,80.12386322021484,54.48670196533203
