iso3,year,ln_population
FRA,1996,17.905755126688046
FRA,1997,17.909322745166605
FRA,1998,17.91302814747334
FRA,1999,17.918186748908575
FRA,2000,17.925050106104244
FRA,2001,17.932340045595225
FRA,2002,17.939610375621637
FRA,2003,17.94666676398911
FRA,2004,17.953993019014383
FRA,2005,17.961511870182598
FRA,2006,17.968475255930883
FRA,2007,17.974657512756817
FRA,2008,17.980237718888297
FRA,2009,17.98537122902155
FRA,2010,17.99030099273188
FRA,2011,17.99512766684195
FRA,2012,17.9999648160363
FRA,2013,18.00513396616647
FRA,2014,18.009882444628186
FRA,2015,18.013438137028768
FRA,2016,18.01607682491442
FRA,2017,18.018978846077932
FRA,2018,18.022563791896093
FRA,2019,18.025889383186374
FRA,2020,18.02913496099673
FRA,2021,18.03270398432062
FRA,2022,18.037727193613996
FRA,2023,18.040478125048434
GBR,1980,17.846457565676534
GBR,1981,17.846805782997098
GBR,1982,17.84644735505875
GBR,1983,17.846788368797508
GBR,1984,17.84837098742955
GBR,1985,17.85064049968405
GBR,1986,17.852956601982395
GBR,1987,17.85508297458939
GBR,1988,17.85730361352901
GBR,1989,17.85990672802979
GBR,1990,17.86289603357075
GBR,1991,17.865988512893946
GBR,1992,17.868692824714763
GBR,1993,17.871090279107626
GBR,1994,17.873636143976217
GBR,1995,17.876281618144805
GBR,1996,17.878827881986954
GBR,1997,17.881403415219758
GBR,1998,17.88431747607408
GBR,1999,17.887651534895927
GBR,2000,17.891224543770143
GBR,2001,17.895074303465783
GBR,2002,17.899307674262147
GBR,2003,17.903964085398176
GBR,2004,17.90965351653239
GBR,2005,17.916519629593125
GBR,2006,17.923870116377337
GBR,2007,17.93165677750175
GBR,2008,17.93952710372494
GBR,2009,17.947091012320875
GBR,2010,17.954929898787338
GBR,2011,17.962744964409705
GBR,2012,17.969867790092547
GBR,2013,17.976563161212827
GBR,2014,17.984034518360627
GBR,2015,17.99125075839037
GBR,2016,17.999192955538568
GBR,2017,18.00465001573942
GBR,2018,18.009534528872233
GBR,2019,18.014680492680636
GBR,2020,18.016374963564047
GBR,2021,18.019964342866405
GBR,2022,18.029177710860257
GBR,2023,18.042227508091
GRC,1980,16.081691487602107
GRC,1981,16.090657648230824
GRC,1982,16.096822268632003
GRC,1983,16.102639517955264
GRC,1984,16.107621083717266
GRC,1985,16.111503973508924
GRC,1986,16.114811564243972
GRC,1987,16.118155149188265
GRC,1988,16.121787129061318
GRC,1989,16.127005638862176
GRC,1990,16.137583718981997
GRC,1991,16.149587244349263
GRC,1992,16.157226071573813
GRC,1993,16.16310869076622
GRC,1994,16.168115725144922
GRC,1995,16.17278769803692
GRC,1996,16.177194403345528
GRC,1997,16.182127074793783
GRC,1998,16.18766919382301
GRC,1999,16.191503906939197
GRC,2000,16.19559432532158
GRC,2001,16.200793169961198
GRC,2002,16.20445883458268
GRC,2003,16.206845266335883
GRC,2004,16.20931940176411
GRC,2005,16.21225189250464
GRC,2006,16.215255210514304
GRC,2007,16.217802786333664
GRC,2008,16.220457364700927
GRC,2009,16.223087628714396
GRC,2010,16.224376433041076
GRC,2011,16.222896920267054
GRC,2012,16.217489390761617
GRC,2013,16.210238182695036
GRC,2014,16.203577049794717
GRC,2015,16.196988436185933
GRC,2016,16.192829305903164
GRC,2017,16.190851473655563
GRC,2018,16.188822671272973
GRC,2019,16.187769277345733
GRC,2020,16.185623356280015
GRC,2021,16.17345533138016
GRC,2022,16.160856436807453
GRC,2023,16.15802294135018
HUN,1980,16.18679319884155
HUN,1981,16.18686097655867
HUN,1982,16.186271455403556
HUN,1983,16.184769047876042
HUN,1984,16.18276806938125
HUN,1985,16.18094959774693
HUN,1986,16.179243806295396
HUN,1987,16.177565818413385
HUN,1988,16.176033089057835
HUN,1989,16.165143250123815
HUN,1990,16.154812077154816
HUN,1991,16.154755395320922
HUN,1992,16.15436402948824
HUN,1993,16.15322367354431
HUN,1994,16.15185484250128
HUN,1995,16.150462642465264
HUN,1996,16.148744926378974
HUN,1997,16.146730337015615
HUN,1998,16.144403543646952
HUN,1999,16.1415709375421
HUN,2000,16.138973288459212
HUN,2001,16.13667949662613
HUN,2002,16.133831982854158
HUN,2003,16.13096765017287
HUN,2004,16.12875325638632
HUN,2005,16.12676446795395
HUN,2006,16.125207303107437
HUN,2007,16.123658151526826
HUN,2008,16.121907177852076
HUN,2009,16.12035808971257
HUN,2010,16.118097950955676
HUN,2011,16.115264346596206
HUN,2012,16.110099970530726
HUN,2013,16.10528737406514
HUN,2014,16.10125849829261
HUN,2015,16.09766383576494
HUN,2016,16.093777855615187
HUN,2017,16.090390996721485
HUN,2018,16.088354124023635
HUN,2019,16.087102692806642
HUN,2020,16.08458219637701
HUN,2021,16.080490559984383
HUN,2022,16.077802058475783
HUN,2023,16.07645936666078
IRL,1980,15.043043626699223
IRL,1981,15.05475397637213
IRL,1982,15.064208131069718
IRL,1983,15.071297521004382
IRL,1984,15.077494595709476
IRL,1985,15.079095330369409
IRL,1986,15.079549710653957
IRL,1987,15.079653386675242
IRL,1988,15.075376526038736
IRL,1989,15.071414018519542
IRL,1990,15.07225814872628
IRL,1991,15.078007426538338
IRL,1992,15.084829994318202
IRL,1993,15.089828399189333
IRL,1994,15.093770275575869
IRL,1995,15.098897226129056
IRL,1996,15.106809939599
IRL,1997,15.116838086951185
IRL,1998,15.1272688553123
IRL,1999,15.138541850877248
IRL,2000,15.151872277535919
IRL,2001,15.167793792439848
IRL,2002,15.184645281012877
IRL,2003,15.200934790632179
IRL,2004,15.219217928811268
IRL,2005,15.241004958946831
IRL,2006,15.267965015382789
IRL,2007,15.296874615429205
IRL,2008,15.317261695540926
IRL,2009,15.32741832830016
IRL,2010,15.33286717214095
IRL,2011,15.337227896533534
IRL,2012,15.341465334566513
IRL,2013,15.34673089615507
IRL,2014,15.354040909920927
IRL,2015,15.363489362995674
IRL,2016,15.376329911503914
IRL,2017,15.389827900159315
IRL,2018,15.4043420081134
IRL,2019,15.420228549073858
IRL,2020,15.43286644037487
IRL,2021,15.446824437036392
IRL,2022,15.466634603443364
IRL,2023,15.485391993464479
ISL,1980,12.337705987996605
ISL,1981,12.349111820602714
ISL,1982,12.362477924694309
ISL,1983,12.375718368994459
ISL,1984,12.38635462379719
ISL,1985,12.394231299941424
ISL,1986,12.40155718885041
ISL,1987,12.412513479857655
ISL,1988,12.428175655669136
ISL,1989,12.440559616304808
ISL,1990,12.448336238290661
ISL,1991,12.459927732491664
ISL,1992,12.472494053265628
ISL,1993,12.48266217255001
ISL,1994,12.491330532016077
ISL,1995,12.496755211994193
ISL,1996,12.502154342160287
ISL,1997,12.510346313074875
ISL,1998,12.521054903506846
ISL,1999,12.53314729136642
ISL,2000,12.546839219699402
ISL,2001,12.560132172245083
ISL,2002,12.569058136019713
ISL,2003,12.575983112224474
ISL,2004,12.584762473801348
ISL,2005,12.600591393579396
ISL,2006,12.624065617882234
ISL,2007,12.6493664727763
ISL,2008,12.667962194482293
ISL,2009,12.671374614272
ISL,2010,12.66993558426906
ISL,2011,12.672990267951304
ISL,2012,12.678311275300475
ISL,2013,12.687770134304166
ISL,2014,12.698895181856445
ISL,2015,12.709314585722742
ISL,2016,12.723195400681126
ISL,2017,12.746651227445513
ISL,2018,12.773432655137803
ISL,2019,12.79542197772042
ISL,2020,12.81165284023301
ISL,2021,12.828046006635594
ISL,2022,12.853183740961017
ISL,2023,12.862719210115923
ITA,1980,17.848580298494138
ITA,1981,17.849780841694933
ITA,1982,17.85052166029485
ITA,1983,17.85088460666155
ITA,1984,17.851108115792588
ITA,1985,17.85139711518471
ITA,1986,17.85145160800368
ITA,1987,17.851553659199226
ITA,1988,17.852036865169698
ITA,1989,17.852786955215052
ITA,1990,17.853624040944638
ITA,1991,17.85431635283417
ITA,1992,17.85499559716498
ITA,1993,17.85560695569501
ITA,1994,17.855810676434466
ITA,1995,17.85582656205756
ITA,1996,17.85610760613763
ITA,1997,17.85663667564024
ITA,1998,17.85692441579901
ITA,1999,17.857092624243567
ITA,2000,17.85754566055495
ITA,2001,17.858157902127378
ITA,2002,17.860136445084052
ITA,2003,17.865540645160873
ITA,2004,17.872986740791998
ITA,2005,17.878823274548928
ITA,2006,17.882824067658635
ITA,2007,17.888908037250598
ITA,2008,17.896620950264115
ITA,2009,17.90241843647352
ITA,2010,17.90684069804439
ITA,2011,17.910302370155193
ITA,2012,17.91303750103654
ITA,2013,17.915035230219583
ITA,2014,17.915186002417567
ITA,2015,17.913674566804808
ITA,2016,17.91177366194095
ITA,2017,17.90989265281535
ITA,2018,17.912329689246626
ITA,2019,17.905329578686892
ITA,2020,17.900458627769716
ITA,2021,17.89530262778127
ITA,2022,17.893279619112445
ITA,2023,17.892780440654956
JPN,1980,18.57603355806943
JPN,1981,18.58331816642957
JPN,1982,18.590254727923817
JPN,1983,18.59721056095451
JPN,1984,18.60369372832184
JPN,1985,18.609953087958086
JPN,1986,18.615276661621706
JPN,1987,18.620097016591455
JPN,1988,18.62425812001341
JPN,1989,18.628255731658452
JPN,1990,18.631573560512088
JPN,1991,18.635501758836906
JPN,1992,18.639213682708892
JPN,1993,18.642455358700328
JPN,1994,18.645247282340065
JPN,1995,18.647593184074196
JPN,1996,18.649862031398804
JPN,1997,18.65224474357472
JPN,1998,18.65496203967703
JPN,1999,18.656787903418433
JPN,2000,18.658460659199566
JPN,2001,18.660870185074774
JPN,2002,18.663195456945832
JPN,2003,18.66533526643363
JPN,2004,18.665671889016355
JPN,2005,18.66576580998193
JPN,2006,18.66639954587611
JPN,2007,18.667548634353373
JPN,2008,18.668032888299354
JPN,2009,18.66790794198706
JPN,2010,18.668087547402255
JPN,2011,18.666235282538146
JPN,2012,18.664638175779704
JPN,2013,18.663195456945832
JPN,2014,18.66186851472436
JPN,2015,18.660807264786893
JPN,2016,18.66029589063476
JPN,2017,18.6594771476743
JPN,2018,18.658208346993412
JPN,2019,18.65680369721463
JPN,2020,18.65386175103713
JPN,2021,18.649262226879053
JPN,2022,18.644823707687568
JPN,2023,18.639949999867074
LTU,1980,15.043161411604784
LTU,1981,15.048929633928578
LTU,1982,15.055963496562407
LTU,1983,15.064033693915999
LTU,1984,15.072323884103847
LTU,1985,15.080919795674918
LTU,1986,15.090569960401064
LTU,1987,15.100980488706933
LTU,1988,15.111620057368903
LTU,1989,15.119578892202904
LTU,1990,15.12325888250614
LTU,1991,15.124960051199663
LTU,1992,15.123874187950621
LTU,1993,15.119133112523619
LTU,1994,15.11219307289443
LTU,1995,15.10449579271672
LTU,1996,15.096892358634976
LTU,1997,15.08951405505431
LTU,1998,15.082269692988309
LTU,1999,15.075174800647591
LTU,2000,15.068140946242702
LTU,2001,15.059900859012261
LTU,2002,15.051873201904776
LTU,2003,15.043750420930708
LTU,2004,15.032520508182385
LTU,2005,15.01623649692304
LTU,2006,15.000272713740031
LTU,2007,14.988393234167441
LTU,2008,14.978108402412788
LTU,2009,14.967004944869064
LTU,2010,14.946035510670518
LTU,2011,14.923450871682235
LTU,2012,14.910495944032245
LTU,2013,14.901122034455133
LTU,2014,14.892985348792818
LTU,2015,14.884044666204003
LTU,2016,14.872371601047618
LTU,2017,14.860243404026887
LTU,2018,14.851963714723997
LTU,2019,14.849082510717947
LTU,2020,14.84882634941462
LTU,2021,14.848118362607208
LTU,2022,14.85636625391912
LTU,2023,14.87037470010208
LUX,1980,12.805321149646062
