iso3,year,dependency_ratio
FIN,2006,50.14922921995942
FIN,2007,50.29369773260235
FIN,2008,50.22583073904824
FIN,2009,50.478405583423125
FIN,2010,51.09506447670674
FIN,2011,52.22569399320839
FIN,2012,53.59209986547143
FIN,2013,55.02822388478316
FIN,2014,56.416303801180646
FIN,2015,57.64433315054999
FIN,2016,58.65911997115133
FIN,2017,59.60346396761462
FIN,2018,60.47413775546128
FIN,2019,61.12788227779063
FIN,2020,61.68415124594806
FIN,2021,62.15155519866651
FIN,2022,62.468788370310655
FIN,2023,62.6357187918865
FRA,1990,51.79277941117044
FRA,1991,52.17175195779916
FRA,1992,52.4882157469949
FRA,1993,52.68757927519512
FRA,1994,52.8489827950778
FRA,1995,52.96215802564005
FRA,1996,53.022918518915354
FRA,1997,53.07841377467321
FRA,1998,53.2192971135075
FRA,1999,53.458977361130465
FRA,2000,53.69197196356633
FRA,2001,53.826354415758615
FRA,2002,53.855081202226394
FRA,2003,53.77827556765561
FRA,2004,53.73053968874093
FRA,2005,53.70540079613358
FRA,2006,53.60949220531749
FRA,2007,53.61805246184168
FRA,2008,53.864441596055265
FRA,2009,54.24469581525221
FRA,2010,54.591548563142
FRA,2011,55.27640536313234
FRA,2012,56.29346427222065
FRA,2013,57.16792246977792
FRA,2014,58.06263676157272
FRA,2015,58.97389112712263
FRA,2016,59.662349731122355
FRA,2017,60.26134916605231
FRA,2018,60.82497867807285
FRA,2019,61.339333625721004
FRA,2020,61.77721560851705
FRA,2021,62.06394356853887
FRA,2022,62.36076265900784
FRA,2023,62.69135999526386
GBR,1990,53.89106236138468
GBR,1991,54.337601300948066
GBR,1992,54.77719376391504
GBR,1993,55.05121003561106
GBR,1994,55.12213448954779
GBR,1995,55.00676756648504
GBR,1996,54.81962647306944
GBR,1997,54.61429948917613
GBR,1998,54.34838664797154
GBR,1999,53.97671590959512
GBR,2000,53.43148586592641
GBR,2001,52.88233278421758
GBR,2002,52.49643015595274
GBR,2003,52.35729295277899
GBR,2004,52.21578634074553
GBR,2005,51.82757156271064
GBR,2006,51.4008482871775
GBR,2007,51.15618620658597
GBR,2008,51.19472265867895
GBR,2009,51.44068525518688
GBR,2010,51.73802316477801
GBR,2011,52.28144451320429
GBR,2012,53.229792089123265
GBR,2013,54.15481215544307
GBR,2014,54.843859544782056
GBR,2015,55.40156159373413
GBR,2016,55.92459264530836
GBR,2017,56.479959518170006
GBR,2018,57.00444495793181
GBR,2019,57.43102135616744
GBR,2020,57.659380857173915
GBR,2021,57.61296083772992
GBR,2022,57.628192344540295
GBR,2023,57.846397332052035
GRC,1990,49.34905799935262
GRC,1991,49.26377148827736
GRC,1992,49.23355193717619
GRC,1993,49.17112771893167
GRC,1994,49.08905105596901
GRC,1995,48.9292463784505
GRC,1996,48.75228148853798
GRC,1997,48.620833288027455
GRC,1998,48.57452148317453
GRC,1999,48.66718655133423
GRC,2000,48.91606034363481
GRC,2001,49.25752778035805
GRC,2002,49.60123566924605
GRC,2003,49.81394017460999
GRC,2004,49.92373900442348
GRC,2005,49.97786637295305
GRC,2006,49.96525873600586
GRC,2007,49.92173139702671
GRC,2008,50.02891463532889
GRC,2009,50.41427171544323
GRC,2010,51.03713476878281
