iso3,year,ln_gdppc
DNK,1989,4.940864991916933
DNK,1990,4.933993112519015
DNK,1991,4.939673986509536
DNK,1992,4.9420349455620896
DNK,1993,4.9309848894618185
DNK,1994,4.956587240420058
DNK,1995,4.96337900493884
DNK,1996,4.9611940169988005
DNK,1997,4.9586967600073875
DNK,1998,4.956381769917115
DNK,1999,4.95691334765621
DNK,2000,4.95660573322793
DNK,2001,4.955788261074037
DNK,2002,4.948325299503332
DNK,2003,4.936342962385252
DNK,2004,4.935370394498453
DNK,2005,4.934203803123687
DNK,2006,4.944015483243741
DNK,2007,4.9302839299043075
DNK,2008,4.923642171485469
DNK,2009,4.909102989626637
DNK,2010,4.896447151561675
DNK,2011,4.890650864649626
DNK,2012,4.879210321410733
DNK,2013,4.878069659738961
DNK,2014,4.869844426559108
DNK,2015,4.86416354456164
DNK,2016,4.8739126739650755
DNK,2017,4.876473767741073
DNK,2018,4.872527135466597
DNK,2019,4.874485825872137
DNK,2020,4.898765088157626
DNK,2021,4.899996904562806
DNK,2022,4.869941980796486
DNK,2023,4.858200050954672
ESP,1980,4.5185106016576215
ESP,1981,4.49760773674176
ESP,1982,4.511616692306796
ESP,1983,4.503382314164746
ESP,1984,4.477791506544645
ESP,1985,4.468506326594052
ESP,1986,4.475611167314316
ESP,1987,4.498656761541818
ESP,1988,4.509927192926686
ESP,1989,4.526110355132845
ESP,1990,4.540006082548042
ESP,1991,4.557260948688621
ESP,1992,4.549793936091348
ESP,1993,4.53050935334286
ESP,1994,4.529413487739841
ESP,1995,4.536772119712299
ESP,1996,4.533747156915835
ESP,1997,4.535412940298741
ESP,1998,4.551592431576033
ESP,1999,4.565419648502684
ESP,2000,4.578055277005191
ESP,2001,4.604533393278644
ESP,2002,4.607106280546873
ESP,2003,4.603800838860113
ESP,2004,4.593029788689183
ESP,2005,4.587733059088481
ESP,2006,4.58722334046323
ESP,2007,4.583189398823103
ESP,2008,4.577891215154842
ESP,2009,4.573064593026451
ESP,2010,4.545925351202571
ESP,2011,4.5210719290138215
ESP,2012,4.4840207453434875
ESP,2013,4.4622924866796385
ESP,2014,4.464987522622267
ESP,2015,4.486240558246163
ESP,2016,4.501651506441626
ESP,2017,4.507186009238434
ESP,2018,4.509062728442316
ESP,2019,4.509508418384019
ESP,2020,4.4326355011440715
ESP,2021,4.439772080343592
ESP,2022,4.466648442248583
ESP,2023,4.468423492677057
EST,1980,
EST,1981,
EST,1982,
EST,1983,
EST,1984,
EST,1985,
EST,1986,
EST,1987,
EST,1988,
EST,1989,
EST,1990,
EST,1991,
EST,1992,
EST,1993,3.725470583131641
EST,1994,3.7090103118503364
EST,1995,3.7546468058673104
EST,1996,3.794223759640379
EST,1997,3.9010151203616004
EST,1998,3.9308636211199035
EST,1999,3.9111768075036477
EST,2000,3.9578883058747256
EST,2001,4.014428950638181
EST,2002,4.0794793876203475
EST,2003,4.144920242519574
EST,2004,4.191354932247212
EST,2005,4.266130171445107
EST,2006,4.341041866490046
EST,2007,4.4005979772893165
EST,2008,4.354782870662267
EST,2009,4.240531659589661
EST,2010,4.24264756336924
EST,2011,4.303958019904461
EST,2012,4.335707566704797
EST,2013,4.345944016545891
EST,2014,4.366390906283541
EST,2015,4.3669058394778135
EST,2016,4.382986349000728
EST,2017,4.41681025887585
EST,2018,4.433058629300623
EST,2019,4.454309342044883
EST,2020,4.466412979696545
EST,2021,4.487329966196726
EST,2022,4.448047728132787
EST,2023,4.384197788512689
FIN,1980,4.7330162678172
FIN,1981,4.728109876549897
FIN,1982,4.759907436606205
FIN,1983,4.763430230797454
FIN,1984,4.750649198209503
FIN,1985,4.752710010757817
FIN,1986,4.7547600668796015
FIN,1987,4.758449143118356
FIN,1988,4.7703027549526125
FIN,1989,4.787256673488757
FIN,1990,4.768026603530369
FIN,1991,4.695846126090215
FIN,1992,4.6421621962733
FIN,1993,4.622773887614393
FIN,1994,4.634481821764191
FIN,1995,4.653732200323805
FIN,1996,4.661809720233304
FIN,1997,4.69142965870187
FIN,1998,4.72002311083728
FIN,1999,4.735198773447362
FIN,2000,4.755574161390317
FIN,2001,4.772598512152632
FIN,2002,4.778295621108285
FIN,2003,4.782039841472682
FIN,2004,4.792548311761381
FIN,2005,4.79490439274868
FIN,2006,4.806179925786397
FIN,2007,4.834484705650672
FIN,2008,4.841080510137815
FIN,2009,4.7939918545412645
FIN,2010,4.796719973049336
FIN,2011,4.801002320836453
FIN,2012,4.773196027573292
FIN,2013,4.747787127233551
FIN,2014,4.72310434800209
FIN,2015,4.704867247522406
FIN,2016,4.715161379488691
FIN,2017,4.724095919627493
FIN,2018,4.717105025342997
FIN,2019,4.718497380222554
FIN,2020,4.736057166484852
FIN,2021,4.703003425652847
FIN,2022,4.682183309101263
FIN,2023,4.654769023093408
FRA,1980,4.847570756958169
FRA,1981,4.840321166718237
FRA,1982,4.8655940614255195
FRA,1983,4.851732297657079
FRA,1984,4.823698302550953
FRA,1985,4.805787475478715
FRA,1986,4.8025284641757695
FRA,1987,4.793927546828897
FRA,1988,4.799061784297714
FRA,1989,4.8073070007174135
FRA,1990,4.808183704894917
FRA,1991,4.809507173290341
FRA,1992,4.805377869731403
FRA,1993,4.790870320621546
FRA,1994,4.78796588869044
FRA,1995,4.788848472008582
FRA,1996,4.774667191979934
FRA,1997,4.766758631219619
FRA,1998,4.77526224977758
FRA,1999,4.778183799637039
FRA,2000,4.778488770709474
FRA,2001,4.78336215275036
FRA,2002,4.778207720979025
FRA,2003,4.767109418994318
FRA,2004,4.762342159963349
FRA,2005,4.7520506790794155
FRA,2006,4.747733184349253
FRA,2007,4.747515510295896
FRA,2008,4.749340917095005
FRA,2009,4.757618094064885
FRA,2010,4.7487864214582425
FRA,2011,4.753431049133608
FRA,2012,4.742857238136108
FRA,2013,4.734773943040273
FRA,2014,4.724006009491043
FRA,2015,4.7105873900391
FRA,2016,4.7029999072622335
FRA,2017,4.698398172258519
FRA,2018,4.692771089173001
FRA,2019,4.697926325187477
FRA,2020,4.661616972792684
FRA,2021,4.666057944945618
FRA,2022,4.663426358181909
FRA,2023,4.6644023847156415
GBR,1980,4.658027534604894
GBR,1981,4.630769811508089
GBR,1982,4.659659734907595
GBR,1983,4.673743518814338
GBR,1984,4.659255638671121
GBR,1985,4.663492139874927
GBR,1986,4.678665636302893
GBR,1987,4.692682056043503
GBR,1988,4.703588331060933
GBR,1989,4.694298643713326
GBR,1990,4.67754331130775
GBR,1991,4.654914608993414
GBR,1992,4.650859327906634
GBR,1993,4.676199269653897
GBR,1994,4.699127678596195
GBR,1995,4.712642245766707
GBR,1996,4.711452154977369
GBR,1997,4.727090925086267
GBR,1998,4.734429340586028
GBR,1999,4.734425614695178
GBR,2000,4.741741225451822
GBR,2001,4.75476391581505
GBR,2002,4.75882934789735
GBR,2003,4.772160323222049
GBR,2004,4.764066987995189
GBR,2005,4.762277373892193
GBR,2006,4.752819523528724
GBR,2007,4.754435781769651
GBR,2008,4.749181209955619
GBR,2009,4.737085423336947
GBR,2010,4.727571704459187
GBR,2011,4.713011090935463
GBR,2012,4.713766701147227
GBR,2013,4.713169489979558
GBR,2014,4.721231393482113
GBR,2015,4.7155917389635365
GBR,2016,4.717071522760521
GBR,2017,4.720193202961326
GBR,2018,4.713304008473049
GBR,2019,4.709621332294915
GBR,2020,4.64648129927026
GBR,2021,4.667384320330483
GBR,2022,4.68217665201842
GBR,2023,4.66106589350541
GRC,1980,4.6192307513118935
GRC,1981,4.581253365393276
GRC,1982,4.570592964719802
GRC,1983,4.532866909007352
GRC,1984,4.508617445524915
GRC,1985,4.501008917612365
GRC,1986,4.480992940877053
GRC,1987,4.426258951429113
GRC,1988,4.428432864289936
GRC,1989,4.431440485262879
GRC,1990,4.402720274214454
GRC,1991,4.418705405886147
GRC,1992,4.4040071582391755
GRC,1993,4.3756468898098335
GRC,1994,4.36806615152231
GRC,1995,4.367785737742109
GRC,1996,4.3524975486158075
GRC,1997,4.353524724350261
GRC,1998,4.359922350095631
GRC,1999,4.3568775047703365
GRC,2000,4.359835638243451
GRC,2001,4.3933309494670505
GRC,2002,4.426826347572543
GRC,2003,4.46699416088108
GRC,2004,4.491049949086767
GRC,2005,4.478261148513484
GRC,2006,4.513411368624474
GRC,2007,4.526116469934413
GRC,2008,4.527478391917063
GRC,2009,4.524691685037124
GRC,2010,4.440892357593
GRC,2011,4.323670735016252
GRC,2012,4.234392521661493
GRC,2013,4.207703946462648
GRC,2014,4.2066800312387755
GRC,2015,4.1913758963538035
GRC,2016,4.182815773135486
GRC,2017,4.178196727765359
GRC,2018,4.183263635068989
GRC,2019,4.195799099468597
GRC,2020,4.145907339462552
GRC,2021,4.176848791709676
GRC,2022,4.210722255291462
GRC,2023,4.224044398801853
HUN,1980,
HUN,1981,
HUN,1982,
HUN,1983,
HUN,1984,
HUN,1985,
HUN,1986,
HUN,1987,
HUN,1988,
HUN,1989,
HUN,1990,
HUN,1991,4.062169760235017
HUN,1992,4.01879652033218
HUN,1993,4.0091969382743775
HUN,1994,4.018596587023887
HUN,1995,4.008383869434096
HUN,1996,3.9865028598536547
HUN,1997,3.988429318657121
HUN,1998,4.006663433726267
HUN,1999,4.014434655452356
HUN,2000,4.02668330374488
HUN,2001,4.0620353627700805
HUN,2002,4.10248928705169
HUN,2003,4.130192896574971
HUN,2004,4.154993779814489
HUN,2005,4.177466017990917
HUN,2006,4.193318144777052
HUN,2007,4.178969738943449
HUN,2008,4.194047624628117
HUN,2009,4.1677234698633425
HUN,2010,4.156721749359162
HUN,2011,4.163832517801362
HUN,2012,4.148492111844916
HUN,2013,4.1617834669278535
HUN,2014,4.192663544370841
HUN,2015,4.212601041341994
HUN,2016,4.228177644750314
HUN,2017,4.250758008632453
HUN,2018,4.289942444514961
HUN,2019,4.329682577902529
HUN,2020,4.332278829612747
HUN,2021,4.348595773929979
HUN,2022,4.366322721162562
HUN,2023,4.348710049802787
IRL,1980,4.401324097631334
IRL,1981,4.4083238494452255
IRL,1982,4.427198355403936
IRL,1983,4.396519811850535
IRL,1984,4.393121508307804
IRL,1985,4.391559081195851
IRL,1986,4.365114502369148
IRL,1987,4.381928954903368
IRL,1988,4.3999604825753496
IRL,1989,4.4334143864751905
IRL,1990,4.494125076934999
IRL,1991,4.501434804639422
IRL,1992,4.5117489789508
IRL,1993,4.526256678028518
IRL,1994,4.556010582084204
IRL,1995,4.625337942694846
IRL,1996,4.665064856749184
IRL,1997,4.7297091488881335
IRL,1998,4.7783664335049645
IRL,1999,4.842156419750643
IRL,2000,4.885439486608769
IRL,2001,4.914849395155524
IRL,2002,4.946098628956962
