iso3,year,sstran,deficit,debt
ITA,2018,19.6020305281232,-2.19118887684865,146.816289944086
ITA,2019,20.0215978698793,-1.4497606213073,154.178642251326
ITA,2020,23.9025242874018,-9.38529822966024,183.341234959446
ITA,2021,21.5942687665732,-8.87087415713642,170.436720209486
ITA,2022,20.3749030635062,-8.09519660618497,145.023637272665
ITA,2023,19.9476372524943,-7.17464880696539,148.091543887092
JPN,1980,10.06579,-4.65437209362373,46.1176489731696
JPN,1981,10.53322,-4.00543816983329,51.7099518768428
JPN,1982,10.96546,-3.88371313125415,57.5141957579435
JPN,1983,11.23435,-3.96065857790994,63.5650715761251
JPN,1984,10.96442,-2.58902492244542,65.6145910309338
JPN,1985,7.21824304037561,-1.265841103694,67.9048382469816
JPN,1986,7.40980650958203,-1.24069248683113,73.4778391103605
JPN,1987,7.65078484864057,-0.257367097492119,75.1706462707183
JPN,1988,7.43882551716657,0.607770793297771,71.2134502432528
JPN,1989,7.16103639354319,1.39539022084939,65.228898610151
JPN,1990,7.34268182239075,2.11072969095884,62.5313375553805
JPN,1991,6.9762205334307,1.92887298420553,61.8618211049949
JPN,1992,7.24208519938733,0.628719073263846,66.1483607870126
JPN,1993,7.62034335321156,-2.44243928664964,72.2781219805896
JPN,1994,7.90592471831193,-3.76190850867519,77.375356759536
JPN,1995,8.4233244549756,-4.29561269108014,84.2859877503194
JPN,1996,8.59171910172936,-4.86922149069576,91.1143434373611
JPN,1997,8.71738306489146,-3.52631142243342,99.7810992018512
JPN,1998,9.33821144621034,-10.0468520443902,110.009405450986
JPN,1999,9.85858279369194,-6.74865202504442,121.651716941261
JPN,2000,10.0380888871455,-7.28182738788287,130.700618283516
JPN,2001,10.3585806316849,-6.20044355924034,135.949181412946
JPN,2002,10.923655756721,-7.3359890496983,143.19299334749
JPN,2003,10.9773425052741,-7.43338294825626,150.880071653135
JPN,2004,11.0993035291259,-5.31417683649576,154.527759586355
JPN,2005,10.2221794065751,-4.43846152112727,154.633422945732
JPN,2006,10.4166113883023,-3.02875608544721,152.923714735985
JPN,2007,10.6282301068254,-2.90100702471454,152.994650105872
JPN,2008,11.0899319053063,-4.10962900877148,158.614735637158
JPN,2009,12.4184140895109,-9.69300422032316,177.230691738608
JPN,2010,12.5961514495858,-9.07585020570466,181.505600254465
JPN,2011,12.957411303955,-8.98552414418363,196.288398408681
JPN,2012,13.0038141788186,-8.19647990127769,205.4377285081
JPN,2013,12.918443579583,-7.61141229241723,208.493542173923
JPN,2014,12.6435252914838,-5.61605177684133,214.756633001877
JPN,2015,12.3548716313128,-3.67784542343547,217.650056948243
JPN,2016,12.389857826905,-3.59959115636836,218.831179507264
JPN,2017,12.2740397741347,-3.09875911498125,218.569040614892
JPN,2018,12.2739320061923,-2.47138988710815,221.807669042691
JPN,2019,12.319657550992,-3.04460801895069,223.872911427255
JPN,2020,12.8506650656171,-9.06837928667681,240.465498116553
JPN,2021,12.7907710494346,-6.15157747218303,240.820857531075
JPN,2022,12.9416634255476,-4.1804264622468,239.628315056363
JPN,2023,11.8401790805229,-3.83540347136303,238.070758974836
LTU,1992,,,
LTU,1993,,,
LTU,1994,,,
LTU,1995,8.1,-1.5,11.4
LTU,1996,8.5,-3.2,13.8
LTU,1997,9.6,-11.7,15.3
LTU,1998,10.8,-3.0,16.5
LTU,1999,12.1,-2.8,22.6
LTU,2000,11.5,-3.2,23.5
LTU,2001,11.3,-3.5,22.9
LTU,2002,10.0,-1.9,22.1
LTU,2003,9.8,-1.3,20.4
LTU,2004,9.7,-1.4,18.6
LTU,2005,9.3,-0.3,17.6
LTU,2006,9.2,-0.3,17.3
LTU,2007,9.7,-0.8,15.9
LTU,2008,11.5,-3.1,14.6
LTU,2009,16.1,-9.1,27.9
LTU,2010,14.5,-6.9,36.7
LTU,2011,12.6,-5.9,37.4
LTU,2012,12.0,-3.1,39.9
LTU,2013,11.3,-2.7,38.9
LTU,2014,10.9,-1.8,40.7
LTU,2015,10.8,-0.8,42.4
LTU,2016,11.0,0.0,39.8
LTU,2017,10.9,0.4,39.1
LTU,2018,11.7,0.6,33.3
LTU,2019,12.0,0.5,35.6
LTU,2020,14.3,-6.3,45.9
LTU,2021,12.9,-1.1,43.3
LTU,2022,12.1,-0.7,38.1
LTU,2023,12.4,-0.7,37.3
LUX,1980,22.75275,,
LUX,1981,23.89354,,
LUX,1982,23.31944,,
LUX,1983,22.67307,,
LUX,1984,22.12056,,
LUX,1985,21.98582,,
LUX,1986,21.83929,,
LUX,1987,,,
LUX,1988,,,
LUX,1989,,,
LUX,1990,12.63149873,4.56491822571885,
LUX,1991,13.26584596,1.02158427215974,
LUX,1992,13.61063442,0.220720590072199,
LUX,1993,13.94133997,1.90068058494777,
